StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value
Southeastern Plains,Fire,Fire,2006,2006,0
Blue Ridge,Fire,Fire,2006,2006,0
Ridge and Valley,Fire,Fire,2006,2006,0
Southwestern Appalachians,Fire,Fire,2006,2006,0
Central Appalachians,Fire,Fire,2006,2006,0
Western Allegheny Plateau,Fire,Fire,2006,2006,0
Interior Plateau,Fire,Fire,2006,2006,0
Interior River Valleys and Hills,Fire,Fire,2006,2006,0
Mississippi Alluvial Plain,Fire,Fire,2006,2006,0
Mississippi Valley Loess Plains,Fire,Fire,2006,2006,0
Southern Coastal Plain,Fire,Fire,2006,2006,0
Southern Florida Coastal Plain,Fire,Fire,2006,2006,1900
North Cascades,Fire,Fire,2006,2006,26300
Klamath Mountains/California High North Coast Range,Fire,Fire,2006,2006,8900
Madrean Archipelago,Fire,Fire,2006,2006,11600
Northern Basin and Range,Fire,Fire,2006,2006,1000
Sonoran Basin and Range,Fire,Fire,2006,2006,1000
Acadian Plains and Hills,Fire,Fire,2006,2006,0
Eastern Great Lakes Lowlands,Fire,Fire,2006,2006,0
Atlantic Coastal Pine Barrens,Fire,Fire,2006,2006,0
Southern California/Northern Baja Coast,Fire,Fire,2006,2006,14800
Coast Range,Fire,Fire,2007,2007,9300
Puget Lowland,Fire,Fire,2007,2007,0
Willamette Valley,Fire,Fire,2007,2007,0
Cascades,Fire,Fire,2007,2007,55400
Sierra Nevada,Fire,Fire,2007,2007,21200
Central California Foothills and Coastal Mountains,Fire,Fire,2007,2007,19300
Central California Valley,Fire,Fire,2007,2007,900
Southern California Mountains,Fire,Fire,2007,2007,117400
Eastern Cascades Slopes and Foothills,Fire,Fire,2007,2007,25100
Columbia Plateau,Fire,Fire,2007,2007,4300
Blue Mountains,Fire,Fire,2007,2007,7000
Snake River Plain,Fire,Fire,2007,2007,10600
Central Basin and Range,Fire,Fire,2007,2007,7000
Mojave Basin and Range,Fire,Fire,2007,2007,16100
Northern Rockies,Fire,Fire,2007,2007,31400
Idaho Batholith,Fire,Fire,2007,2007,69900
Middle Rockies,Fire,Fire,2007,2007,106600
Wyoming Basin,Fire,Fire,2007,2007,56700
Wasatch and Uinta Mountains,Fire,Fire,2007,2007,20500
Colorado Plateaus,Fire,Fire,2007,2007,11200
Southern Rockies,Fire,Fire,2007,2007,9700
Arizona/New Mexico Plateau,Fire,Fire,2007,2007,100
Arizona/New Mexico Mountains,Fire,Fire,2007,2007,129700
Chihuahuan Deserts,Fire,Fire,2007,2007,0
High Plains,Fire,Fire,2007,2007,0
Southwestern Tablelands,Fire,Fire,2007,2007,600
Central Great Plains,Fire,Fire,2007,2007,0
Flint Hills,Fire,Fire,2007,2007,0
Cross Timbers,Fire,Fire,2007,2007,0
Edwards Plateau,Fire,Fire,2007,2007,0
Southern Texas Plains,Fire,Fire,2007,2007,0
Texas Blackland Prairies,Fire,Fire,2007,2007,0
East Central Texas Plains,Fire,Fire,2007,2007,0
Western Gulf Coastal Plain,Fire,Fire,2007,2007,0
South Central Plains,Fire,Fire,2007,2007,0
Ouachita Mountains,Fire,Fire,2007,2007,0
Arkansas Valley,Fire,Fire,2007,2007,0
Boston Mountains,Fire,Fire,2007,2007,0
Ozark Highlands,Fire,Fire,2007,2007,0
Central Irregular Plains,Fire,Fire,2007,2007,0
Canadian Rockies,Fire,Fire,2007,2007,121200
Northwestern Glaciated Plains,Fire,Fire,2007,2007,500
Northwestern Great Plains,Fire,Fire,2007,2007,79800
Nebraska Sand Hills,Fire,Fire,2007,2007,0
Piedmont,Fire,Fire,2007,2007,0
Northern Glaciated Plains,Fire,Fire,2007,2007,0
Western Corn Belt Plains,Fire,Fire,2007,2007,0
Lake Agassiz Plain,Fire,Fire,2007,2007,0
Northern Minnesota Wetlands,Fire,Fire,2007,2007,0
Northern Lakes and Forests,Fire,Fire,2007,2007,2700
North Central Hardwood Forests,Fire,Fire,2007,2007,0
Driftless Area,Fire,Fire,2007,2007,0
Southeastern Wisconsin Till Plains,Fire,Fire,2007,2007,0
Central Corn Belt Plains,Fire,Fire,2007,2007,0
Eastern Corn Belt Plains,Fire,Fire,2007,2007,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2007,2007,0
Huron/Erie Lake Plains,Fire,Fire,2007,2007,0
Northeastern Highlands,Fire,Fire,2007,2007,0
Northeastern Coastal Zone,Fire,Fire,2007,2007,0
Northern Allegheny Plateau,Fire,Fire,2007,2007,0
Erie Drift Plain,Fire,Fire,2007,2007,0
North Central Appalachians,Fire,Fire,2007,2007,0
Middle Atlantic Coastal Plain,Fire,Fire,2007,2007,0
Northern Piedmont,Fire,Fire,2007,2007,0
Southeastern Plains,Fire,Fire,2007,2007,0
Blue Ridge,Fire,Fire,2007,2007,0
Ridge and Valley,Fire,Fire,2007,2007,0
Southwestern Appalachians,Fire,Fire,2007,2007,0
Central Appalachians,Fire,Fire,2007,2007,0
Western Allegheny Plateau,Fire,Fire,2007,2007,0
Interior Plateau,Fire,Fire,2007,2007,0
Interior River Valleys and Hills,Fire,Fire,2007,2007,0
Mississippi Alluvial Plain,Fire,Fire,2007,2007,0
Mississippi Valley Loess Plains,Fire,Fire,2007,2007,0
Southern Coastal Plain,Fire,Fire,2007,2007,0
Southern Florida Coastal Plain,Fire,Fire,2007,2007,900
North Cascades,Fire,Fire,2007,2007,45800
Klamath Mountains/California High North Coast Range,Fire,Fire,2007,2007,6600
Madrean Archipelago,Fire,Fire,2007,2007,32600
Northern Basin and Range,Fire,Fire,2007,2007,7400
Sonoran Basin and Range,Fire,Fire,2007,2007,1400
Acadian Plains and Hills,Fire,Fire,2007,2007,0
Eastern Great Lakes Lowlands,Fire,Fire,2007,2007,0
Atlantic Coastal Pine Barrens,Fire,Fire,2007,2007,0
Southern California/Northern Baja Coast,Fire,Fire,2007,2007,161700
Coast Range,Fire,Fire,2008,2008,0
Puget Lowland,Fire,Fire,2008,2008,0
Willamette Valley,Fire,Fire,2008,2008,0
Cascades,Fire,Fire,2008,2008,6900
Sierra Nevada,Fire,Fire,2008,2008,10100
Central California Foothills and Coastal Mountains,Fire,Fire,2008,2008,9200
Central California Valley,Fire,Fire,2008,2008,500
Southern California Mountains,Fire,Fire,2008,2008,5500
Eastern Cascades Slopes and Foothills,Fire,Fire,2008,2008,10100
Columbia Plateau,Fire,Fire,2008,2008,33200
Blue Mountains,Fire,Fire,2008,2008,4400
Snake River Plain,Fire,Fire,2008,2008,144100
Central Basin and Range,Fire,Fire,2008,2008,6000
Mojave Basin and Range,Fire,Fire,2008,2008,400
Northern Rockies,Fire,Fire,2008,2008,800
Idaho Batholith,Fire,Fire,2008,2008,7000
Middle Rockies,Fire,Fire,2008,2008,7500
Wyoming Basin,Fire,Fire,2008,2008,5100
Wasatch and Uinta Mountains,Fire,Fire,2008,2008,19400
Colorado Plateaus,Fire,Fire,2008,2008,600
Southern Rockies,Fire,Fire,2008,2008,17900
Arizona/New Mexico Plateau,Fire,Fire,2008,2008,2500
Arizona/New Mexico Mountains,Fire,Fire,2008,2008,41400
Chihuahuan Deserts,Fire,Fire,2008,2008,3200
High Plains,Fire,Fire,2008,2008,4400
Southwestern Tablelands,Fire,Fire,2008,2008,6500
Central Great Plains,Fire,Fire,2008,2008,2400
Flint Hills,Fire,Fire,2008,2008,0
Cross Timbers,Fire,Fire,2008,2008,0
Edwards Plateau,Fire,Fire,2008,2008,0
Southern Texas Plains,Fire,Fire,2008,2008,0
Texas Blackland Prairies,Fire,Fire,2008,2008,0
East Central Texas Plains,Fire,Fire,2008,2008,0
Western Gulf Coastal Plain,Fire,Fire,2008,2008,3300
South Central Plains,Fire,Fire,2008,2008,2800
Ouachita Mountains,Fire,Fire,2008,2008,0
Arkansas Valley,Fire,Fire,2008,2008,0
Boston Mountains,Fire,Fire,2008,2008,1800
Ozark Highlands,Fire,Fire,2008,2008,1300
Central Irregular Plains,Fire,Fire,2008,2008,0
Canadian Rockies,Fire,Fire,2008,2008,700
Northwestern Glaciated Plains,Fire,Fire,2008,2008,700
Northwestern Great Plains,Fire,Fire,2008,2008,32900
Nebraska Sand Hills,Fire,Fire,2008,2008,0
Piedmont,Fire,Fire,2008,2008,0
Northern Glaciated Plains,Fire,Fire,2008,2008,0
Western Corn Belt Plains,Fire,Fire,2008,2008,0
Lake Agassiz Plain,Fire,Fire,2008,2008,0
Northern Minnesota Wetlands,Fire,Fire,2008,2008,0
Northern Lakes and Forests,Fire,Fire,2008,2008,9200
North Central Hardwood Forests,Fire,Fire,2008,2008,0
Driftless Area,Fire,Fire,2008,2008,0
Southeastern Wisconsin Till Plains,Fire,Fire,2008,2008,0
Central Corn Belt Plains,Fire,Fire,2008,2008,0
Eastern Corn Belt Plains,Fire,Fire,2008,2008,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2008,2008,0
Huron/Erie Lake Plains,Fire,Fire,2008,2008,0
Northeastern Highlands,Fire,Fire,2008,2008,0
Northeastern Coastal Zone,Fire,Fire,2008,2008,0
Northern Allegheny Plateau,Fire,Fire,2008,2008,0
Erie Drift Plain,Fire,Fire,2008,2008,0
North Central Appalachians,Fire,Fire,2008,2008,0
Middle Atlantic Coastal Plain,Fire,Fire,2008,2008,0
Northern Piedmont,Fire,Fire,2008,2008,0
Southeastern Plains,Fire,Fire,2008,2008,0
Blue Ridge,Fire,Fire,2008,2008,0
Ridge and Valley,Fire,Fire,2008,2008,0
Southwestern Appalachians,Fire,Fire,2008,2008,0
Central Appalachians,Fire,Fire,2008,2008,0
Western Allegheny Plateau,Fire,Fire,2008,2008,0
Interior Plateau,Fire,Fire,2008,2008,0
Interior River Valleys and Hills,Fire,Fire,2008,2008,0
Mississippi Alluvial Plain,Fire,Fire,2008,2008,0
Mississippi Valley Loess Plains,Fire,Fire,2008,2008,0
Southern Coastal Plain,Fire,Fire,2008,2008,600
Southern Florida Coastal Plain,Fire,Fire,2008,2008,0
North Cascades,Fire,Fire,2008,2008,7000
Klamath Mountains/California High North Coast Range,Fire,Fire,2008,2008,3500
Madrean Archipelago,Fire,Fire,2008,2008,4100
Northern Basin and Range,Fire,Fire,2008,2008,98800
Sonoran Basin and Range,Fire,Fire,2008,2008,900
Acadian Plains and Hills,Fire,Fire,2008,2008,0
Eastern Great Lakes Lowlands,Fire,Fire,2008,2008,0
Atlantic Coastal Pine Barrens,Fire,Fire,2008,2008,0
Southern California/Northern Baja Coast,Fire,Fire,2008,2008,500
Coast Range,Fire,Fire,2009,2009,300
Puget Lowland,Fire,Fire,2009,2009,0
Willamette Valley,Fire,Fire,2009,2009,0
Cascades,Fire,Fire,2009,2009,10200
Sierra Nevada,Fire,Fire,2009,2009,126200
Central California Foothills and Coastal Mountains,Fire,Fire,2009,2009,12300
Central California Valley,Fire,Fire,2009,2009,0
Southern California Mountains,Fire,Fire,2009,2009,36500
Eastern Cascades Slopes and Foothills,Fire,Fire,2009,2009,17900
Columbia Plateau,Fire,Fire,2009,2009,40900
Blue Mountains,Fire,Fire,2009,2009,32800
Snake River Plain,Fire,Fire,2009,2009,36000
Central Basin and Range,Fire,Fire,2009,2009,75500
Mojave Basin and Range,Fire,Fire,2009,2009,14400
Northern Rockies,Fire,Fire,2009,2009,8500
Idaho Batholith,Fire,Fire,2009,2009,221000
Middle Rockies,Fire,Fire,2009,2009,24300
Wyoming Basin,Fire,Fire,2009,2009,900
Wasatch and Uinta Mountains,Fire,Fire,2009,2009,1100
Colorado Plateaus,Fire,Fire,2009,2009,1300
Southern Rockies,Fire,Fire,2009,2009,70300
Arizona/New Mexico Plateau,Fire,Fire,2009,2009,1100
Arizona/New Mexico Mountains,Fire,Fire,2009,2009,78000
Chihuahuan Deserts,Fire,Fire,2009,2009,400
High Plains,Fire,Fire,2009,2009,0
Southwestern Tablelands,Fire,Fire,2009,2009,5500
Central Great Plains,Fire,Fire,2009,2009,0
Flint Hills,Fire,Fire,2009,2009,0
Cross Timbers,Fire,Fire,2009,2009,0
Edwards Plateau,Fire,Fire,2009,2009,0
Southern Texas Plains,Fire,Fire,2009,2009,0
Texas Blackland Prairies,Fire,Fire,2009,2009,0
East Central Texas Plains,Fire,Fire,2009,2009,0
Western Gulf Coastal Plain,Fire,Fire,2009,2009,9100
South Central Plains,Fire,Fire,2009,2009,0
Ouachita Mountains,Fire,Fire,2009,2009,0
Arkansas Valley,Fire,Fire,2009,2009,0
Boston Mountains,Fire,Fire,2009,2009,800
Ozark Highlands,Fire,Fire,2009,2009,500
Central Irregular Plains,Fire,Fire,2009,2009,0
Canadian Rockies,Fire,Fire,2009,2009,8600
Northwestern Glaciated Plains,Fire,Fire,2009,2009,0
Northwestern Great Plains,Fire,Fire,2009,2009,4500
Nebraska Sand Hills,Fire,Fire,2009,2009,0
Piedmont,Fire,Fire,2009,2009,0
Northern Glaciated Plains,Fire,Fire,2009,2009,0
Western Corn Belt Plains,Fire,Fire,2009,2009,0
Lake Agassiz Plain,Fire,Fire,2009,2009,600
Northern Minnesota Wetlands,Fire,Fire,2009,2009,2700
Northern Lakes and Forests,Fire,Fire,2009,2009,0
North Central Hardwood Forests,Fire,Fire,2009,2009,0
Driftless Area,Fire,Fire,2009,2009,0
Southeastern Wisconsin Till Plains,Fire,Fire,2009,2009,0
Central Corn Belt Plains,Fire,Fire,2009,2009,0
Eastern Corn Belt Plains,Fire,Fire,2009,2009,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2009,2009,0
Huron/Erie Lake Plains,Fire,Fire,2009,2009,0
Northeastern Highlands,Fire,Fire,2009,2009,0
Northeastern Coastal Zone,Fire,Fire,2009,2009,0
Northern Allegheny Plateau,Fire,Fire,2009,2009,0
Erie Drift Plain,Fire,Fire,2009,2009,0
North Central Appalachians,Fire,Fire,2009,2009,0
Middle Atlantic Coastal Plain,Fire,Fire,2009,2009,400
Northern Piedmont,Fire,Fire,2009,2009,0
Southeastern Plains,Fire,Fire,2009,2009,0
Blue Ridge,Fire,Fire,2009,2009,1600
Ridge and Valley,Fire,Fire,2009,2009,700
Southwestern Appalachians,Fire,Fire,2009,2009,0
Central Appalachians,Fire,Fire,2009,2009,0
Western Allegheny Plateau,Fire,Fire,2009,2009,0
Interior Plateau,Fire,Fire,2009,2009,0
Interior River Valleys and Hills,Fire,Fire,2009,2009,0
Mississippi Alluvial Plain,Fire,Fire,2009,2009,0
Mississippi Valley Loess Plains,Fire,Fire,2009,2009,0
Southern Coastal Plain,Fire,Fire,2009,2009,2600
Southern Florida Coastal Plain,Fire,Fire,2009,2009,9000
North Cascades,Fire,Fire,2009,2009,2100
Klamath Mountains/California High North Coast Range,Fire,Fire,2009,2009,51700
Madrean Archipelago,Fire,Fire,2009,2009,6300
Northern Basin and Range,Fire,Fire,2009,2009,65600
Sonoran Basin and Range,Fire,Fire,2009,2009,4500
Acadian Plains and Hills,Fire,Fire,2009,2009,0
Eastern Great Lakes Lowlands,Fire,Fire,2009,2009,0
Atlantic Coastal Pine Barrens,Fire,Fire,2009,2009,0
Southern California/Northern Baja Coast,Fire,Fire,2009,2009,13200
Coast Range,Fire,Fire,2010,2010,0
Puget Lowland,Fire,Fire,2010,2010,0
Willamette Valley,Fire,Fire,2010,2010,0
Cascades,Fire,Fire,2010,2010,42500
Sierra Nevada,Fire,Fire,2010,2010,34400
Central California Foothills and Coastal Mountains,Fire,Fire,2010,2010,26500
Central California Valley,Fire,Fire,2010,2010,0
Southern California Mountains,Fire,Fire,2010,2010,4400
Eastern Cascades Slopes and Foothills,Fire,Fire,2010,2010,90200
Columbia Plateau,Fire,Fire,2010,2010,75200
Blue Mountains,Fire,Fire,2010,2010,57000
Snake River Plain,Fire,Fire,2010,2010,163300
Central Basin and Range,Fire,Fire,2010,2010,197000
Mojave Basin and Range,Fire,Fire,2010,2010,20400
Northern Rockies,Fire,Fire,2010,2010,8400
Idaho Batholith,Fire,Fire,2010,2010,370500
Middle Rockies,Fire,Fire,2010,2010,116800
Wyoming Basin,Fire,Fire,2010,2010,6100
Wasatch and Uinta Mountains,Fire,Fire,2010,2010,27800
Colorado Plateaus,Fire,Fire,2010,2010,45000
Southern Rockies,Fire,Fire,2010,2010,116800
Arizona/New Mexico Plateau,Fire,Fire,2010,2010,26500
Arizona/New Mexico Mountains,Fire,Fire,2010,2010,175500
Chihuahuan Deserts,Fire,Fire,2010,2010,600
High Plains,Fire,Fire,2010,2010,39900
Southwestern Tablelands,Fire,Fire,2010,2010,1300
Central Great Plains,Fire,Fire,2010,2010,2500
Flint Hills,Fire,Fire,2010,2010,600
Cross Timbers,Fire,Fire,2010,2010,26500
Edwards Plateau,Fire,Fire,2010,2010,0
Southern Texas Plains,Fire,Fire,2010,2010,0
Texas Blackland Prairies,Fire,Fire,2010,2010,0
East Central Texas Plains,Fire,Fire,2010,2010,0
Western Gulf Coastal Plain,Fire,Fire,2010,2010,3000
South Central Plains,Fire,Fire,2010,2010,0
Ouachita Mountains,Fire,Fire,2010,2010,0
Arkansas Valley,Fire,Fire,2010,2010,0
Boston Mountains,Fire,Fire,2010,2010,0
Ozark Highlands,Fire,Fire,2010,2010,1700
Central Irregular Plains,Fire,Fire,2010,2010,0
Canadian Rockies,Fire,Fire,2010,2010,16500
Northwestern Glaciated Plains,Fire,Fire,2010,2010,28000
Northwestern Great Plains,Fire,Fire,2010,2010,365900
Nebraska Sand Hills,Fire,Fire,2010,2010,10300
Piedmont,Fire,Fire,2010,2010,0
Northern Glaciated Plains,Fire,Fire,2010,2010,0
Western Corn Belt Plains,Fire,Fire,2010,2010,0
Lake Agassiz Plain,Fire,Fire,2010,2010,0
Northern Minnesota Wetlands,Fire,Fire,2010,2010,10200
Northern Lakes and Forests,Fire,Fire,2010,2010,0
North Central Hardwood Forests,Fire,Fire,2010,2010,0
Driftless Area,Fire,Fire,2010,2010,0
Southeastern Wisconsin Till Plains,Fire,Fire,2010,2010,0
Central Corn Belt Plains,Fire,Fire,2010,2010,0
Eastern Corn Belt Plains,Fire,Fire,2010,2010,0
Southern Michigan/Northern Indiana Drift Plains,Fire,Fire,2010,2010,0
Huron/Erie Lake Plains,Fire,Fire,2010,2010,0
Northeastern Highlands,Fire,Fire,2010,2010,0
Northeastern Coastal Zone,Fire,Fire,2010,2010,0
Northern Allegheny Plateau,Fire,Fire,2010,2010,0
Erie Drift Plain,Fire,Fire,2010,2010,0
North Central Appalachians,Fire,Fire,2010,2010,0
Middle Atlantic Coastal Plain,Fire,Fire,2010,2010,8700
Northern Piedmont,Fire,Fire,2010,2010,0
Southeastern Plains,Fire,Fire,2010,2010,0
Blue Ridge,Fire,Fire,2010,2010,900
Ridge and Valley,Fire,Fire,2010,2010,14000
Southwestern Appalachians,Fire,Fire,2010,2010,0
Central Appalachians,Fire,Fire,2010,2010,0
Western Allegheny Plateau,Fire,Fire,2010,2010,0
Interior Plateau,Fire,Fire,2010,2010,0
Interior River Valleys and Hills,Fire,Fire,2010,2010,0
Mississippi Alluvial Plain,Fire,Fire,2010,2010,0
Mississippi Valley Loess Plains,Fire,Fire,2010,2010,0
Southern Coastal Plain,Fire,Fire,2010,2010,1200
Southern Florida Coastal Plain,Fire,Fire,2010,2010,5300
North Cascades,Fire,Fire,2010,2010,23900
Klamath Mountains/California High North Coast Range,Fire,Fire,2010,2010,51000
Madrean Archipelago,Fire,Fire,2010,2010,16800
Northern Basin and Range,Fire,Fire,2010,2010,839900
Sonoran Basin and Range,Fire,Fire,2010,2010,6500
Acadian Plains and Hills,Fire,Fire,2010,2010,0
Eastern Great Lakes Lowlands,Fire,Fire,2010,2010,0
Atlantic Coastal Pine Barrens,Fire,Fire,2010,2010,0
Southern California/Northern Baja Coast,Fire,Fire,2010,2010,1500
Coast Range,Fire,Fire,2011,2011,15700
Puget Lowland,Fire,Fire,2011,2011,0
Willamette Valley,Fire,Fire,2011,2011,0
Cascades,Fire,Fire,2011,2011,33600
Sierra Nevada,Fire,Fire,2011,2011,91100
Central California Foothills and Coastal Mountains,Fire,Fire,2011,2011,150500
Central California Valley,Fire,Fire,2011,2011,1400
Southern California Mountains,Fire,Fire,2011,2011,5400
Eastern Cascades Slopes and Foothills,Fire,Fire,2011,2011,9900
Columbia Plateau,Fire,Fire,2011,2011,41800
Blue Mountains,Fire,Fire,2011,2011,5700
Snake River Plain,Fire,Fire,2011,2011,24100
Central Basin and Range,Fire,Fire,2011,2011,7300
Mojave Basin and Range,Fire,Fire,2011,2011,0
Northern Rockies,Fire,Fire,2011,2011,9500
Idaho Batholith,Fire,Fire,2011,2011,26900
Middle Rockies,Fire,Fire,2011,2011,45800
Wyoming Basin,Fire,Fire,2011,2011,10100
Wasatch and Uinta Mountains,Fire,Fire,2011,2011,700
Colorado Plateaus,Fire,Fire,2011,2011,1900
Southern Rockies,Fire,Fire,2011,2011,5000
Arizona/New Mexico Plateau,Fire,Fire,2011,2011,0
Arizona/New Mexico Mountains,Fire,Fire,2011,2011,44800
Chihuahuan Deserts,Fire,Fire,2011,2011,5800
High Plains,Fire,Fire,2011,2011,600
Southwestern Tablelands,Fire,Fire,2011,2011,38100
Central Great Plains,Fire,Fire,2011,2011,0
Flint Hills,Fire,Fire,2011,2011,0
Cross Timbers,Fire,Fire,2011,2011,0
Edwards Plateau,Fire,Fire,2011,2011,0
Southern Texas Plains,Fire,Fire,2011,2011,0
Texas Blackland Prairies,Fire,Fire,2011,2011,0
East Central Texas Plains,Fire,Fire,2011,2011,0
Western Gulf Coastal Plain,Fire,Fire,2011,2011,1800
South Central Plains,Fire,Fire,2011,2011,0
Ouachita Mountains,Fire,Fire,2011,2011,0
Arkansas Valley,Fire,Fire,2011,2011,0
Boston Mountains,Fire,Fire,2011,2011,0
Ozark Highlands,Fire,Fire,2011,2011,0
Central Irregular Plains,Fire,Fire,2011,2011,0
Canadian Rockies,Fire,Fire,2011,2011,0
Northwestern Glaciated Plains,Fire,Fire,2011,2011,4100
Northwestern Great Plains,Fire,Fire,2011,2011,45400
